[server/mod.rs:2353][INFO] MC-COMPAT-MILESTONE remote_player_spawn entity_id=8 uuid=UUID(17279542629861541104, 17597886568995341490) name=compatbotb x=40.000 y=0.000 z=0.000
[server/mod.rs:2353][INFO] MC-COMPAT-MILESTONE remote_player_spawn entity_id=5 uuid=UUID(57399523660260232, 4659645379363650449) name=compatbota x=-40.000 y=0.000 z=0.000
[server/mod.rs:2353][INFO] MC-COMPAT-MILESTONE remote_player_spawn entity_id=5 uuid=UUID(57399523660260232, 4659645379363650449) name=compatbota x=38.000 y=65.000 z=0.000
[server/mod.rs:2353][INFO] MC-COMPAT-MILESTONE remote_player_spawn entity_id=8 uuid=UUID(17279542629861541104, 17597886568995341490) name=compatbotb x=40.000 y=0.000 z=0.000
[server/mod.rs:2353][INFO] MC-COMPAT-MILESTONE remote_player_spawn entity_id=5 uuid=UUID(57399523660260232, 4659645379363650449) name=compatbota x=-40.000 y=0.000 z=0.000
[server/mod.rs:2353][INFO] MC-COMPAT-MILESTONE remote_player_spawn entity_id=5 uuid=UUID(57399523660260232, 4659645379363650449) name=compatbota x=38.000 y=65.000 z=0.000
[server/mod.rs:2353][INFO] MC-COMPAT-MILESTONE remote_player_spawn entity_id=8 uuid=UUID(17279542629861541104, 17597886568995341490) name=compatbotb x=40.000 y=0.000 z=0.000
[server/mod.rs:2353][INFO] MC-COMPAT-MILESTONE remote_player_spawn entity_id=5 uuid=UUID(57399523660260232, 4659645379363650449) name=compatbota x=-40.000 y=0.000 z=0.000
[server/mod.rs:2353][INFO] MC-COMPAT-MILESTONE remote_player_spawn entity_id=5 uuid=UUID(57399523660260232, 4659645379363650449) name=compatbota x=38.000 y=65.000 z=0.000
[server/mod.rs:2353][INFO] MC-COMPAT-MILESTONE remote_player_spawn entity_id=8 uuid=UUID(17279542629861541104, 17597886568995341490) name=compatbotb x=40.000 y=0.000 z=0.000
[server/mod.rs:2353][INFO] MC-COMPAT-MILESTONE remote_player_spawn entity_id=5 uuid=UUID(57399523660260232, 4659645379363650449) name=compatbota x=-40.000 y=0.000 z=0.000
[server/mod.rs:2353][INFO] MC-COMPAT-MILESTONE remote_player_spawn entity_id=5 uuid=UUID(57399523660260232, 4659645379363650449) name=compatbota x=38.000 y=65.000 z=0.000
[server/mod.rs:2353][INFO] MC-COMPAT-MILESTONE remote_player_spawn entity_id=8 uuid=UUID(17279542629861541104, 17597886568995341490) name=compatbotb x=40.000 y=0.000 z=0.000
