command=cargo -Zscript tools/refresh_evidence_manifests.rs --check
cwd=/home/brittonr/git/mc
started_at=2026-07-07T21:55:22-04:00
evidence manifest refresh failed: docs/evidence/furnace-smelting-data-fixture-2026-07-01.b3:22: stale digest for cairn/specs/vanilla-composable-plugins/spec.md: expected 75d77cab8c30396962909486f31d25b11f25ec318070bd576f2969cacfee0004, found 6860e62c6ea8ff1eb3e8bdaf6ba7ad13321f22d7570f72afa1dd35a40f071777
evidence manifest refresh failed: docs/evidence/furnace-smelting-selected-row-receipts-2026-07-01.b3:3: stale digest for cairn/specs/vanilla-composable-plugins/spec.md: expected 75d77cab8c30396962909486f31d25b11f25ec318070bd576f2969cacfee0004, found 6860e62c6ea8ff1eb3e8bdaf6ba7ad13321f22d7570f72afa1dd35a40f071777
evidence manifest refresh failed: docs/evidence/furnace-smelting-valence-runtime-shell-2026-07-01.b3:7: stale digest for cairn/specs/vanilla-composable-plugins/spec.md: expected 75d77cab8c30396962909486f31d25b11f25ec318070bd576f2969cacfee0004, found 6860e62c6ea8ff1eb3e8bdaf6ba7ad13321f22d7570f72afa1dd35a40f071777
evidence manifest refresh failed: docs/evidence/furnace-smelting-valence-shell-contract-2026-07-01.b3:7: stale digest for cairn/specs/vanilla-composable-plugins/spec.md: expected 75d77cab8c30396962909486f31d25b11f25ec318070bd576f2969cacfee0004, found 6860e62c6ea8ff1eb3e8bdaf6ba7ad13321f22d7570f72afa1dd35a40f071777
evidence manifest refresh failed: docs/evidence/hyperion-integration-boundaries-2026-06-22.b3:4: stale digest for AGENTS.md: expected d337b76794e8f7e07481c5e62517541cf1da4566f277b337fdad80e5b3f9ab1d, found 1f771f53aaa53a14ee663a72f0750bba0fcf80d70b8629ace6ba326f0a9bafbf
evidence manifest refresh failed: docs/evidence/inventory-drag-transactions-2026-06-06.b3:14: stale digest for README.md: expected c5bcc09925aab54b984600ff4ea1ae300f521a87d786789d5e54cae5b884711c, found 02e1b66a137cc932a81ed33d7c85ec7870e60317309267a03a3b53fde7b416aa
evidence manifest refresh failed: docs/evidence/inventory-stack-split-merge-2026-06-05.b3:14: stale digest for README.md: expected c5bcc09925aab54b984600ff4ea1ae300f521a87d786789d5e54cae5b884711c, found 02e1b66a137cc932a81ed33d7c85ec7870e60317309267a03a3b53fde7b416aa
evidence manifest refresh failed: docs/evidence/manifests/2026-06-30/modularization-drain.b3:23: stale digest for cairn/specs/repository-layout/spec.md: expected 7d7c1ea737777bb10a5e67a634fc0f03bac71e0befc60cc6a7af9fcd009b00b9, found 3e8a548b6dc21af44ec0d86f78668c92ced800d2e53c64a647403e91c88e2052
evidence manifest refresh failed: docs/evidence/manifests/2026-07-01/hyperion-checkout-retirement.b3:10: stale digest for AGENTS.md: expected d337b76794e8f7e07481c5e62517541cf1da4566f277b337fdad80e5b3f9ab1d, found 1f771f53aaa53a14ee663a72f0750bba0fcf80d70b8629ace6ba326f0a9bafbf
evidence manifest refresh failed: docs/evidence/manifests/2026-07-01/hyperion-checkout-retirement.b3:18: stale digest for cairn/specs/repository-layout/spec.md: expected 7d7c1ea737777bb10a5e67a634fc0f03bac71e0befc60cc6a7af9fcd009b00b9, found 3e8a548b6dc21af44ec0d86f78668c92ced800d2e53c64a647403e91c88e2052
evidence manifest refresh failed: docs/evidence/mcp-controlled-smoke-typed-event-migration-2026-06-22.b3:1: stale digest for README.md: expected c5bcc09925aab54b984600ff4ea1ae300f521a87d786789d5e54cae5b884711c, found 02e1b66a137cc932a81ed33d7c85ec7870e60317309267a03a3b53fde7b416aa
evidence manifest refresh failed: docs/evidence/minecraft-wiki-guidance-2026-07-01.b3:14: stale digest for cairn/specs/repository-layout/spec.md: expected 7d7c1ea737777bb10a5e67a634fc0f03bac71e0befc60cc6a7af9fcd009b00b9, found 3e8a548b6dc21af44ec0d86f78668c92ced800d2e53c64a647403e91c88e2052
evidence manifest refresh failed: docs/evidence/minecraft-wiki-guidance-2026-07-01.b3:15: stale digest for cairn/specs/vanilla-composable-plugins/spec.md: expected 75d77cab8c30396962909486f31d25b11f25ec318070bd576f2969cacfee0004, found 6860e62c6ea8ff1eb3e8bdaf6ba7ad13321f22d7570f72afa1dd35a40f071777
evidence manifest refresh failed: docs/evidence/move-worldgen-work-to-bevy-tasks.closeout.b3:19: stale digest for servers/valence/Cargo.toml: expected bd938d827bf645f8d9bcf96f7a46928c386651c2f764a19466f1f7062402670d, found 519316bba40f3cfec27551b55fb4c86526413f5988e0f5a47ec83f25547773a0
evidence manifest refresh failed: docs/evidence/move-worldgen-work-to-bevy-tasks.closeout.b3:20: stale digest for servers/valence/Cargo.lock: expected d0b454c9144c84d975d99278a26efb02f23fad70f5b6d531caf6057779e04099, found e525f5c554ae2d2315419d846aa98ef68aa5cddd6d8a406e60293fb2d9b839d3
evidence manifest refresh failed: docs/evidence/move-worldgen-work-to-bevy-tasks.implementation.b3:5: stale digest for servers/valence/Cargo.toml: expected bd938d827bf645f8d9bcf96f7a46928c386651c2f764a19466f1f7062402670d, found 519316bba40f3cfec27551b55fb4c86526413f5988e0f5a47ec83f25547773a0
evidence manifest refresh failed: docs/evidence/move-worldgen-work-to-bevy-tasks.implementation.b3:6: stale digest for servers/valence/Cargo.lock: expected d0b454c9144c84d975d99278a26efb02f23fad70f5b6d531caf6057779e04099, found e525f5c554ae2d2315419d846aa98ef68aa5cddd6d8a406e60293fb2d9b839d3
evidence manifest refresh failed: docs/evidence/next-cairn-skill-2026-07-01.b3:15: stale digest for cairn/specs/repository-layout/spec.md: expected 7d7c1ea737777bb10a5e67a634fc0f03bac71e0befc60cc6a7af9fcd009b00b9, found 3e8a548b6dc21af44ec0d86f78668c92ced800d2e53c64a647403e91c88e2052
evidence manifest refresh failed: docs/evidence/nix-run-valence-stevenarella-2026-05-30.b3:4: stale digest for README.md: expected c5bcc09925aab54b984600ff4ea1ae300f521a87d786789d5e54cae5b884711c, found 02e1b66a137cc932a81ed33d7c85ec7870e60317309267a03a3b53fde7b416aa
evidence manifest refresh failed: docs/evidence/protocol-763-ctf-invalid-pickup-ownership-2026-05-30.b3:18: stale digest for README.md: expected c5bcc09925aab54b984600ff4ea1ae300f521a87d786789d5e54cae5b884711c, found 02e1b66a137cc932a81ed33d7c85ec7870e60317309267a03a3b53fde7b416aa
evidence manifest refresh failed: docs/evidence/protocol-763-ctf-invalid-return-drop-2026-05-30.b3:18: stale digest for README.md: expected c5bcc09925aab54b984600ff4ea1ae300f521a87d786789d5e54cae5b884711c, found 02e1b66a137cc932a81ed33d7c85ec7870e60317309267a03a3b53fde7b416aa
evidence manifest refresh failed: docs/evidence/protocol-763-ctf-score-limit-win-condition-2026-05-30.b3:23: stale digest for README.md: expected c5bcc09925aab54b984600ff4ea1ae300f521a87d786789d5e54cae5b884711c, found 02e1b66a137cc932a81ed33d7c85ec7870e60317309267a03a3b53fde7b416aa
evidence manifest refresh failed: docs/evidence/protocol-763-ctf-simultaneous-pickup-capture-race-validation-2026-06-01.b3:23: stale digest for README.md: expected c5bcc09925aab54b984600ff4ea1ae300f521a87d786789d5e54cae5b884711c, found 02e1b66a137cc932a81ed33d7c85ec7870e60317309267a03a3b53fde7b416aa
evidence manifest refresh failed: docs/evidence/protocol-763-public-server-authorized-safety-2026-05-30.b3:14: stale digest for README.md: expected c5bcc09925aab54b984600ff4ea1ae300f521a87d786789d5e54cae5b884711c, found 02e1b66a137cc932a81ed33d7c85ec7870e60317309267a03a3b53fde7b416aa
evidence manifest refresh failed: docs/evidence/protocol-763-wan-tolerance-bounded-telemetry-2026-05-29.b3:14: stale digest for README.md: expected c5bcc09925aab54b984600ff4ea1ae300f521a87d786789d5e54cae5b884711c, found 02e1b66a137cc932a81ed33d7c85ec7870e60317309267a03a3b53fde7b416aa
evidence manifest refresh failed: docs/evidence/scenario-manifest-fallback-budget-2026-06-22.b3:13: stale digest for README.md: expected c5bcc09925aab54b984600ff4ea1ae300f521a87d786789d5e54cae5b884711c, found 02e1b66a137cc932a81ed33d7c85ec7870e60317309267a03a3b53fde7b416aa
evidence manifest refresh failed: docs/evidence/separate-compat-instrumentation-validation-2026-06-23.b3:1: stale digest for README.md: expected c5bcc09925aab54b984600ff4ea1ae300f521a87d786789d5e54cae5b884711c, found 02e1b66a137cc932a81ed33d7c85ec7870e60317309267a03a3b53fde7b416aa
evidence manifest refresh failed: docs/evidence/split-root-readme-docs-validation.b3:19: stale digest for README.md: expected c5bcc09925aab54b984600ff4ea1ae300f521a87d786789d5e54cae5b884711c, found 02e1b66a137cc932a81ed33d7c85ec7870e60317309267a03a3b53fde7b416aa
evidence manifest refresh failed: docs/evidence/split-root-readme-docs-validation.b3:29: stale digest for cairn/specs/repository-layout/spec.md: expected 7d7c1ea737777bb10a5e67a634fc0f03bac71e0befc60cc6a7af9fcd009b00b9, found 3e8a548b6dc21af44ec0d86f78668c92ced800d2e53c64a647403e91c88e2052
evidence manifest refresh failed: docs/evidence/subtree-agent-docs-2026-06-22.b3:5: stale digest for README.md: expected c5bcc09925aab54b984600ff4ea1ae300f521a87d786789d5e54cae5b884711c, found 02e1b66a137cc932a81ed33d7c85ec7870e60317309267a03a3b53fde7b416aa
evidence manifest refresh failed: docs/evidence/subtree-agent-docs-2026-06-22.b3:6: stale digest for AGENTS.md: expected d337b76794e8f7e07481c5e62517541cf1da4566f277b337fdad80e5b3f9ab1d, found 1f771f53aaa53a14ee663a72f0750bba0fcf80d70b8629ace6ba326f0a9bafbf
evidence manifest refresh failed: docs/evidence/subtree-agent-docs-2026-06-22.b3:8: stale digest for cairn/specs/repository-layout/spec.md: expected 7d7c1ea737777bb10a5e67a634fc0f03bac71e0befc60cc6a7af9fcd009b00b9, found 3e8a548b6dc21af44ec0d86f78668c92ced800d2e53c64a647403e91c88e2052
evidence manifest refresh failed: docs/evidence/survival-chest-typed-event-2026-06-22.b3:29: stale digest for README.md: expected c5bcc09925aab54b984600ff4ea1ae300f521a87d786789d5e54cae5b884711c, found 02e1b66a137cc932a81ed33d7c85ec7870e60317309267a03a3b53fde7b416aa
evidence manifest refresh failed: docs/evidence/survival-crafting-recipe-breadth-2026-06-20.b3:38: stale digest for README.md: expected c5bcc09925aab54b984600ff4ea1ae300f521a87d786789d5e54cae5b884711c, found 02e1b66a137cc932a81ed33d7c85ec7870e60317309267a03a3b53fde7b416aa
evidence manifest refresh failed: docs/evidence/survival-crafting-recipe-breadth-typed-event-2026-06-22.b3:1: stale digest for README.md: expected c5bcc09925aab54b984600ff4ea1ae300f521a87d786789d5e54cae5b884711c, found 02e1b66a137cc932a81ed33d7c85ec7870e60317309267a03a3b53fde7b416aa
evidence manifest refresh failed: docs/evidence/survival-furnace-smelting-breadth-2026-06-21.b3:45: stale digest for README.md: expected c5bcc09925aab54b984600ff4ea1ae300f521a87d786789d5e54cae5b884711c, found 02e1b66a137cc932a81ed33d7c85ec7870e60317309267a03a3b53fde7b416aa
evidence manifest refresh failed: docs/evidence/survival-furnace-smelting-typed-event-2026-06-22.b3:29: stale digest for README.md: expected c5bcc09925aab54b984600ff4ea1ae300f521a87d786789d5e54cae5b884711c, found 02e1b66a137cc932a81ed33d7c85ec7870e60317309267a03a3b53fde7b416aa
evidence manifest refresh failed: docs/evidence/survival-furnace-typed-event-2026-06-22.b3:29: stale digest for README.md: expected c5bcc09925aab54b984600ff4ea1ae300f521a87d786789d5e54cae5b884711c, found 02e1b66a137cc932a81ed33d7c85ec7870e60317309267a03a3b53fde7b416aa
evidence manifest refresh failed: docs/evidence/survival-hunger-food-typed-event-2026-06-25.b3:14: stale digest for cairn/changes/.drain-state.md: expected 27cdbf48a28e1107a256bae3e750d00a5fbff6a0891d56d30e7a0c128a3f7a03, found 3ffd18578619e073117cbd93290d724ce04804ab22123c42646683055dbca75e
evidence manifest refresh failed: docs/evidence/survival-hunger-health-cycle-typed-event-2026-06-22.b3:1: stale digest for README.md: expected c5bcc09925aab54b984600ff4ea1ae300f521a87d786789d5e54cae5b884711c, found 02e1b66a137cc932a81ed33d7c85ec7870e60317309267a03a3b53fde7b416aa
evidence manifest refresh failed: docs/evidence/survival-mob-drop-typed-event-2026-06-25.b3:10: stale digest for cairn/changes/.drain-state.md: expected 27cdbf48a28e1107a256bae3e750d00a5fbff6a0891d56d30e7a0c128a3f7a03, found 3ffd18578619e073117cbd93290d724ce04804ab22123c42646683055dbca75e
evidence manifest refresh failed: docs/evidence/survival-redstone-toggle-typed-event-2026-06-25.b3:10: stale digest for cairn/changes/.drain-state.md: expected 27cdbf48a28e1107a256bae3e750d00a5fbff6a0891d56d30e7a0c128a3f7a03, found 3ffd18578619e073117cbd93290d724ce04804ab22123c42646683055dbca75e
evidence manifest refresh failed: docs/evidence/survival-remaining-breadth-typed-event-migration-2026-06-22.b3:1: stale digest for README.md: expected c5bcc09925aab54b984600ff4ea1ae300f521a87d786789d5e54cae5b884711c, found 02e1b66a137cc932a81ed33d7c85ec7870e60317309267a03a3b53fde7b416aa
evidence manifest refresh failed: docs/evidence/valence-packet-compose-api-2026-06-23.b3:9: stale digest for servers/valence/src/lib.rs: expected a830259d74a5a34e6b2a74e87d6326b42cc6ce57744863ef345e12569c8e1887, found 951402f12665f047a4d894b2783ed698221e56dc8cd323bfecf6604903a86c40
finished_at=2026-07-07T21:55:27-04:00
exit_status=1
