### evidence-manifest-check
+ nix run .#evidence-manifest-refresh -- --check
evidence manifest refresh failed: docs/evidence/mcp-controlled-smoke-typed-event-migration-2026-06-22.b3:6: stale digest for cairn/specs/mc-compatibility/spec.md: expected 54e47e80b949cf215b35a565155238b838c0a2605840e76d1f6a6551bbc4e07e, found 9ddc2c88ede303ec23b0276129a6b111a42331b05399680291f37145881ea880
evidence manifest refresh failed: docs/evidence/modularize-valence-network-session.b3:1: stale digest for cairn/specs/mc-compatibility/spec.md: expected 54e47e80b949cf215b35a565155238b838c0a2605840e76d1f6a6551bbc4e07e, found 9ddc2c88ede303ec23b0276129a6b111a42331b05399680291f37145881ea880
evidence manifest refresh failed: docs/evidence/movement-packet-family-2026-06-06.b3:32: stale digest for cairn/specs/mc-compatibility/spec.md: expected 54e47e80b949cf215b35a565155238b838c0a2605840e76d1f6a6551bbc4e07e, found 9ddc2c88ede303ec23b0276129a6b111a42331b05399680291f37145881ea880
evidence manifest refresh failed: docs/evidence/profile-cache-rate-limiter-validation.b3:4: stale digest for servers/valence/crates/valence_network/src/profile_cache.rs: expected 9c3f0df6a1e8a8ea96f0684afc033dbbd24c8a970759d75f946bd7be99795c0f, found 637bd52e767612caf9513b7bd84497115982ddbef34ce19bea807669404738a6
evidence manifest refresh failed: docs/evidence/projectile-travel-collision-live-rail-2026-06-27.b3:15: stale digest for cairn/specs/mc-compatibility/spec.md: expected 54e47e80b949cf215b35a565155238b838c0a2605840e76d1f6a6551bbc4e07e, found 9ddc2c88ede303ec23b0276129a6b111a42331b05399680291f37145881ea880
evidence manifest refresh failed: docs/evidence/protocol-763-armor-loadout-enchantment-status-validation-2026-05-29.b3:4: stale digest for cairn/specs/mc-compatibility/spec.md: expected 54e47e80b949cf215b35a565155238b838c0a2605840e76d1f6a6551bbc4e07e, found 9ddc2c88ede303ec23b0276129a6b111a42331b05399680291f37145881ea880
evidence manifest refresh failed: docs/evidence/protocol-763-broad-coverage-ledger-gate-2026-05-28.b3:12: stale digest for cairn/specs/mc-compatibility/spec.md: expected 54e47e80b949cf215b35a565155238b838c0a2605840e76d1f6a6551bbc4e07e, found 9ddc2c88ede303ec23b0276129a6b111a42331b05399680291f37145881ea880
evidence manifest refresh failed: docs/evidence/protocol-763-ctf-invalid-action-live-breadth-2026-06-22.b3:37: stale digest for cairn/specs/mc-compatibility/spec.md: expected 54e47e80b949cf215b35a565155238b838c0a2605840e76d1f6a6551bbc4e07e, found 9ddc2c88ede303ec23b0276129a6b111a42331b05399680291f37145881ea880
evidence manifest refresh failed: docs/evidence/protocol-763-ctf-simultaneous-pickup-capture-race-validation-2026-06-01.b3:38: stale digest for cairn/specs/mc-compatibility/spec.md: expected 54e47e80b949cf215b35a565155238b838c0a2605840e76d1f6a6551bbc4e07e, found 9ddc2c88ede303ec23b0276129a6b111a42331b05399680291f37145881ea880
evidence manifest refresh failed: docs/evidence/protocol-763-equipment-slot-item-expansion-validation-2026-05-29.b3:4: stale digest for cairn/specs/mc-compatibility/spec.md: expected 54e47e80b949cf215b35a565155238b838c0a2605840e76d1f6a6551bbc4e07e, found 9ddc2c88ede303ec23b0276129a6b111a42331b05399680291f37145881ea880
