command=nix run .#evidence-manifest-refresh -- --check
cwd=/home/brittonr/git/mc
started_at=2026-06-29T05:57:01-04:00
evidence manifest refresh failed: docs/evidence/protocol-763-ctf-invalid-action-live-breadth-2026-06-22.b3:37: stale digest for cairn/specs/mc-compatibility/spec.md: expected 7476943334a5482c9080a7dca3b110ec88192d450a1fcada5f601792b0c27a2a, found 2b32205555fd196af840149b29196ec25127cf4ad31c7fe2bc7bbac2d4ce3e6b
evidence manifest refresh failed: docs/evidence/protocol-763-ctf-simultaneous-pickup-capture-race-validation-2026-06-01.b3:38: stale digest for cairn/specs/mc-compatibility/spec.md: expected 7476943334a5482c9080a7dca3b110ec88192d450a1fcada5f601792b0c27a2a, found 2b32205555fd196af840149b29196ec25127cf4ad31c7fe2bc7bbac2d4ce3e6b
evidence manifest refresh failed: docs/evidence/protocol-763-equipment-slot-item-expansion-validation-2026-05-29.b3:4: stale digest for cairn/specs/mc-compatibility/spec.md: expected 7476943334a5482c9080a7dca3b110ec88192d450a1fcada5f601792b0c27a2a, found 2b32205555fd196af840149b29196ec25127cf4ad31c7fe2bc7bbac2d4ce3e6b
evidence manifest refresh failed: docs/evidence/protocol-763-production-network-safety-gate-2026-05-28.b3:12: stale digest for cairn/specs/mc-compatibility/spec.md: expected 7476943334a5482c9080a7dca3b110ec88192d450a1fcada5f601792b0c27a2a, found 2b32205555fd196af840149b29196ec25127cf4ad31c7fe2bc7bbac2d4ce3e6b
evidence manifest refresh failed: docs/evidence/protocol-763-public-server-authorized-safety-2026-05-30.b3:15: stale digest for cairn/specs/mc-compatibility/spec.md: expected 7476943334a5482c9080a7dca3b110ec88192d450a1fcada5f601792b0c27a2a, found 2b32205555fd196af840149b29196ec25127cf4ad31c7fe2bc7bbac2d4ce3e6b
evidence manifest refresh failed: docs/evidence/protocol-763-survival-coverage-reference-parity-sync-2026-05-28.b3:10: stale digest for cairn/specs/mc-compatibility/spec.md: expected 7476943334a5482c9080a7dca3b110ec88192d450a1fcada5f601792b0c27a2a, found 2b32205555fd196af840149b29196ec25127cf4ad31c7fe2bc7bbac2d4ce3e6b
evidence manifest refresh failed: docs/evidence/protocol-763-survival-reference-paper-fixture-gate-2026-05-28.b3:3: stale digest for cairn/specs/mc-compatibility/spec.md: expected 7476943334a5482c9080a7dca3b110ec88192d450a1fcada5f601792b0c27a2a, found 2b32205555fd196af840149b29196ec25127cf4ad31c7fe2bc7bbac2d4ce3e6b
evidence manifest refresh failed: docs/evidence/protocol-763-survival-reference-parity-gate-2026-05-28.b3:5: stale digest for cairn/specs/mc-compatibility/spec.md: expected 7476943334a5482c9080a7dca3b110ec88192d450a1fcada5f601792b0c27a2a, found 2b32205555fd196af840149b29196ec25127cf4ad31c7fe2bc7bbac2d4ce3e6b
evidence manifest refresh failed: docs/evidence/protocol-763-wan-tolerance-bounded-telemetry-2026-05-29.b3:18: stale digest for cairn/specs/mc-compatibility/spec.md: expected 7476943334a5482c9080a7dca3b110ec88192d450a1fcada5f601792b0c27a2a, found 2b32205555fd196af840149b29196ec25127cf4ad31c7fe2bc7bbac2d4ce3e6b
evidence manifest refresh failed: docs/evidence/ratchet-scenario-fallback-budget-2026-06-28.b3:3: stale digest for cairn/specs/mc-compatibility/spec.md: expected 7476943334a5482c9080a7dca3b110ec88192d450a1fcada5f601792b0c27a2a, found 2b32205555fd196af840149b29196ec25127cf4ad31c7fe2bc7bbac2d4ce3e6b
evidence manifest refresh failed: docs/evidence/runner-scenario-modules-2026-06-06.b3:4: stale digest for cairn/specs/mc-compatibility/spec.md: expected 7476943334a5482c9080a7dca3b110ec88192d450a1fcada5f601792b0c27a2a, found 2b32205555fd196af840149b29196ec25127cf4ad31c7fe2bc7bbac2d4ce3e6b
evidence manifest refresh failed: docs/evidence/scenario-behavior-traits-2026-06-06.b3:9: stale digest for cairn/specs/mc-compatibility/spec.md: expected 7476943334a5482c9080a7dca3b110ec88192d450a1fcada5f601792b0c27a2a, found 2b32205555fd196af840149b29196ec25127cf4ad31c7fe2bc7bbac2d4ce3e6b
evidence manifest refresh failed: docs/evidence/scoreboard-team-packet-family-2026-06-06.b3:24: stale digest for cairn/specs/mc-compatibility/spec.md: expected 7476943334a5482c9080a7dca3b110ec88192d450a1fcada5f601792b0c27a2a, found 2b32205555fd196af840149b29196ec25127cf4ad31c7fe2bc7bbac2d4ce3e6b
evidence manifest refresh failed: docs/evidence/separate-compat-instrumentation-validation-2026-06-23.b3:4: stale digest for clients/stevenarella/src/main.rs: expected 52267be63e2903ac47113926fe3297ed8894757943859f4c022a35cd16c93ef3, found a690c0a026ae0e840591954fed157756926589d15342ec3dd85f452a155cc9aa
evidence manifest refresh failed: docs/evidence/separate-compat-instrumentation-validation-2026-06-23.b3:6: stale digest for cairn/specs/mc-compatibility/spec.md: expected 7476943334a5482c9080a7dca3b110ec88192d450a1fcada5f601792b0c27a2a, found 2b32205555fd196af840149b29196ec25127cf4ad31c7fe2bc7bbac2d4ce3e6b
evidence manifest refresh failed: docs/evidence/server-correlation-rail-2026-06-18.b3:18: stale digest for cairn/specs/mc-compatibility/spec.md: expected 7476943334a5482c9080a7dca3b110ec88192d450a1fcada5f601792b0c27a2a, found 2b32205555fd196af840149b29196ec25127cf4ad31c7fe2bc7bbac2d4ce3e6b
evidence manifest refresh failed: docs/evidence/sign-editor-live-rail-2026-06-07.b3:4: stale digest for cairn/specs/mc-compatibility/spec.md: expected 7476943334a5482c9080a7dca3b110ec88192d450a1fcada5f601792b0c27a2a, found 2b32205555fd196af840149b29196ec25127cf4ad31c7fe2bc7bbac2d4ce3e6b
evidence manifest refresh failed: docs/evidence/stevenarella-frame-archive-validation-2026-05-31.b3:2: stale digest for cairn/specs/mc-compatibility/spec.md: expected 7476943334a5482c9080a7dca3b110ec88192d450a1fcada5f601792b0c27a2a, found 2b32205555fd196af840149b29196ec25127cf4ad31c7fe2bc7bbac2d4ce3e6b
evidence manifest refresh failed: docs/evidence/stevenarella-frame-post-archive-provenance-2026-05-31.b3:4: stale digest for cairn/specs/mc-compatibility/spec.md: expected 7476943334a5482c9080a7dca3b110ec88192d450a1fcada5f601792b0c27a2a, found 2b32205555fd196af840149b29196ec25127cf4ad31c7fe2bc7bbac2d4ce3e6b
evidence manifest refresh failed: docs/evidence/survival-biome-dimension-archive-2026-06-01.b3:2: stale digest for cairn/specs/mc-compatibility/spec.md: expected 7476943334a5482c9080a7dca3b110ec88192d450a1fcada5f601792b0c27a2a, found 2b32205555fd196af840149b29196ec25127cf4ad31c7fe2bc7bbac2d4ce3e6b
evidence manifest refresh failed: docs/evidence/survival-block-entity-persistence-archive-2026-06-04.b3:2: stale digest for cairn/specs/mc-compatibility/spec.md: expected 7476943334a5482c9080a7dca3b110ec88192d450a1fcada5f601792b0c27a2a, found 2b32205555fd196af840149b29196ec25127cf4ad31c7fe2bc7bbac2d4ce3e6b
evidence manifest refresh failed: docs/evidence/survival-chest-typed-event-2026-06-22.b3:30: stale digest for cairn/specs/mc-compatibility/spec.md: expected 7476943334a5482c9080a7dca3b110ec88192d450a1fcada5f601792b0c27a2a, found 2b32205555fd196af840149b29196ec25127cf4ad31c7fe2bc7bbac2d4ce3e6b
evidence manifest refresh failed: docs/evidence/survival-crafting-recipe-breadth-typed-event-2026-06-22.b3:6: stale digest for cairn/specs/mc-compatibility/spec.md: expected 7476943334a5482c9080a7dca3b110ec88192d450a1fcada5f601792b0c27a2a, found 2b32205555fd196af840149b29196ec25127cf4ad31c7fe2bc7bbac2d4ce3e6b
evidence manifest refresh failed: docs/evidence/survival-crash-recovery-archive-2026-06-04.b3:4: stale digest for cairn/specs/mc-compatibility/spec.md: expected 7476943334a5482c9080a7dca3b110ec88192d450a1fcada5f601792b0c27a2a, found 2b32205555fd196af840149b29196ec25127cf4ad31c7fe2bc7bbac2d4ce3e6b
evidence manifest refresh failed: docs/evidence/survival-furnace-smelting-typed-event-2026-06-22.b3:30: stale digest for cairn/specs/mc-compatibility/spec.md: expected 7476943334a5482c9080a7dca3b110ec88192d450a1fcada5f601792b0c27a2a, found 2b32205555fd196af840149b29196ec25127cf4ad31c7fe2bc7bbac2d4ce3e6b
evidence manifest refresh failed: docs/evidence/survival-furnace-typed-event-2026-06-22.b3:30: stale digest for cairn/specs/mc-compatibility/spec.md: expected 7476943334a5482c9080a7dca3b110ec88192d450a1fcada5f601792b0c27a2a, found 2b32205555fd196af840149b29196ec25127cf4ad31c7fe2bc7bbac2d4ce3e6b
evidence manifest refresh failed: docs/evidence/survival-hunger-food-typed-event-2026-06-25.b3:9: stale digest for cairn/specs/mc-compatibility/spec.md: expected 7476943334a5482c9080a7dca3b110ec88192d450a1fcada5f601792b0c27a2a, found 2b32205555fd196af840149b29196ec25127cf4ad31c7fe2bc7bbac2d4ce3e6b
evidence manifest refresh failed: docs/evidence/survival-hunger-health-cycle-typed-event-2026-06-22.b3:6: stale digest for cairn/specs/mc-compatibility/spec.md: expected 7476943334a5482c9080a7dca3b110ec88192d450a1fcada5f601792b0c27a2a, found 2b32205555fd196af840149b29196ec25127cf4ad31c7fe2bc7bbac2d4ce3e6b
evidence manifest refresh failed: docs/evidence/survival-mob-drop-archive-2026-06-02.b3:6: stale digest for cairn/specs/mc-compatibility/spec.md: expected 7476943334a5482c9080a7dca3b110ec88192d450a1fcada5f601792b0c27a2a, found 2b32205555fd196af840149b29196ec25127cf4ad31c7fe2bc7bbac2d4ce3e6b
evidence manifest refresh failed: docs/evidence/survival-mob-drop-post-archive-validation-2026-06-02.b3:5: stale digest for cairn/specs/mc-compatibility/spec.md: expected 7476943334a5482c9080a7dca3b110ec88192d450a1fcada5f601792b0c27a2a, found 2b32205555fd196af840149b29196ec25127cf4ad31c7fe2bc7bbac2d4ce3e6b
evidence manifest refresh failed: docs/evidence/survival-mob-drop-typed-event-2026-06-25.b3:9: stale digest for cairn/specs/mc-compatibility/spec.md: expected 7476943334a5482c9080a7dca3b110ec88192d450a1fcada5f601792b0c27a2a, found 2b32205555fd196af840149b29196ec25127cf4ad31c7fe2bc7bbac2d4ce3e6b
evidence manifest refresh failed: docs/evidence/survival-redstone-toggle-typed-event-2026-06-25.b3:9: stale digest for cairn/specs/mc-compatibility/spec.md: expected 7476943334a5482c9080a7dca3b110ec88192d450a1fcada5f601792b0c27a2a, found 2b32205555fd196af840149b29196ec25127cf4ad31c7fe2bc7bbac2d4ce3e6b
evidence manifest refresh failed: docs/evidence/survival-remaining-breadth-typed-event-migration-2026-06-22.b3:2: stale digest for cairn/specs/mc-compatibility/spec.md: expected 7476943334a5482c9080a7dca3b110ec88192d450a1fcada5f601792b0c27a2a, found 2b32205555fd196af840149b29196ec25127cf4ad31c7fe2bc7bbac2d4ce3e6b
evidence manifest refresh failed: docs/evidence/targeted-packet-live-kv-schema-2026-06-07.b3:3: stale digest for cairn/specs/mc-compatibility/spec.md: expected 7476943334a5482c9080a7dca3b110ec88192d450a1fcada5f601792b0c27a2a, found 2b32205555fd196af840149b29196ec25127cf4ad31c7fe2bc7bbac2d4ce3e6b
evidence manifest refresh failed: docs/evidence/targeted-packet-live-parity-2026-06-06.b3:3: stale digest for cairn/specs/mc-compatibility/spec.md: expected 7476943334a5482c9080a7dca3b110ec88192d450a1fcada5f601792b0c27a2a, found 2b32205555fd196af840149b29196ec25127cf4ad31c7fe2bc7bbac2d4ce3e6b
evidence manifest refresh failed: docs/evidence/targeted-packet-promotions-spec-sync-2026-06-06.b3:3: stale digest for cairn/specs/mc-compatibility/spec.md: expected 7476943334a5482c9080a7dca3b110ec88192d450a1fcada5f601792b0c27a2a, found 2b32205555fd196af840149b29196ec25127cf4ad31c7fe2bc7bbac2d4ce3e6b
evidence manifest refresh failed: docs/evidence/vanilla-combat-armor-reference-archive-2026-06-04.b3:2: stale digest for cairn/specs/mc-compatibility/spec.md: expected 7476943334a5482c9080a7dca3b110ec88192d450a1fcada5f601792b0c27a2a, found 2b32205555fd196af840149b29196ec25127cf4ad31c7fe2bc7bbac2d4ce3e6b
evidence manifest refresh failed: docs/evidence/vanilla-combat-armor-reference-post-archive-validation-2026-06-04.b3:4: stale digest for cairn/specs/mc-compatibility/spec.md: expected 7476943334a5482c9080a7dca3b110ec88192d450a1fcada5f601792b0c27a2a, found 2b32205555fd196af840149b29196ec25127cf4ad31c7fe2bc7bbac2d4ce3e6b
finished_at=2026-06-29T05:57:05-04:00
exit_status=1
